sma_short,sma_long,test_cagr,test_sharpe,test_profit_factor,test_max_drawdown,test_num_trades,full_cagr,full_profit_factor
22,50,0.7023853040475061,0.22820353004230082,1.5434629071485668,-0.23265726195588177,21,0.17327722165345438,1.7457679932874102
20,50,0.5189652683865844,0.13701077634355954,1.3478322905790396,-0.3034322342227349,20,0.13378260314691381,1.6391160838814516
20,30,0.8311952825451345,0.09412633901151674,1.2724116450862335,-0.33402640455155264,22,0.19926482656185374,1.7623153450608693
24,50,0.7001188393062763,0.07789839219372087,1.2591587056433318,-0.292172615975533,20,0.17280782840774944,1.7599979268592798
22,45,0.5647121396075339,0.06375089429557039,1.2165842103860809,-0.29267809611875206,23,0.14393254553872792,1.627255814998129
20,35,1.1245355139799948,0.049529440922666285,1.2012486852121853,-0.3759312554825279,21,0.25399889888121363,2.022602912309008
20,45,0.7467650041732492,0.03781371143506474,1.175599976836797,-0.31669099387643573,21,0.1823815760684544,1.813386204071779
22,30,1.0067675295951757,0.033645482706130006,1.1644963436702542,-0.3311834160780467,26,0.232702138442054,1.8315525520473104
24,35,1.2335973031283451,0.01843695112912789,1.1484213558619103,-0.30929391561495745,23,0.27299663506917815,2.0263996992991444
20,40,1.2743828202144591,-0.00048161197941482974,1.1235242178543203,-0.33631864272032974,20,0.2799343516983821,2.1495385263178606
24,30,1.0217772386104973,-0.008878428018410111,1.113393156592467,-0.33250260863219316,25,0.2354642617580125,1.828053400557362
22,35,1.2988580495172117,-0.023962212296166643,1.0975326985875329,-0.33882190327913,24,0.28405594907253806,2.0834788001387516
20,55,0.32352689353997444,-0.032611763544854906,1.0699470408897476,-0.30943787513025134,20,0.08783670299006885,1.486652180292059
18,45,0.7013254065923102,-0.04358296717151016,1.04054387687252,-0.30332628672332895,20,0.1730577674221494,1.767372436338335
22,55,0.4356330899748584,-0.05351416015937181,1.0345724364040494,-0.3062164359782309,22,0.11472987770885812,1.5770799361929784
16,30,0.6726561857553988,-0.08478194248845916,1.0068188815091077,-0.3857511910583711,19,0.16708510752432404,1.6934818228167825
24,55,0.6619821891930189,-0.10927097229583678,0.9688899540022782,-0.3706238955573835,20,0.16484309744508963,1.7351578117124422
16,35,0.645096725683264,-0.12135487070505252,0.9625678904344594,-0.40213387294078584,20,0.1612757411986554,1.6694713943851898
24,40,0.5416178106063934,-0.1422733598367251,0.9430406012486238,-0.37149040606920136,23,0.1388349023182487,1.60729916419592
22,40,0.9319274555555583,-0.14553882926416434,0.9331133485822264,-0.3798074056178742,24,0.2187098597880308,1.8969431842445148
14,30,0.7010298061201079,-0.14393680707774215,0.9058047774052562,-0.34907298007128895,20,0.1729965455995175,1.7282420183262688
24,45,0.3354160616145716,-0.20658758372971253,0.8583336087403507,-0.3870263315870305,21,0.09076264132768808,1.469576014919194
18,40,0.905986803334486,-0.1820452637463084,0.8549503971478845,-0.4018838721790766,19,0.21377148689859582,1.884661396145412
18,30,0.7999986805663981,-0.17922797025602138,0.8520944499137387,-0.4004033921357587,19,0.19309126037098112,1.8089879390544146
20,60,0.31525146683912375,-0.20919178397393445,0.8469581396375347,-0.3727175591962675,19,0.08578923883467349,1.4931554282812227
16,45,0.4120924947815765,-0.22110992075255168,0.8436234555437627,-0.3826364958866739,21,0.10920791260179841,1.5314938111879945
18,50,0.3965850400915485,-0.2057797650213648,0.8246995484619705,-0.36151036727479224,21,0.10553501601971793,1.5688578061541134
16,40,0.6434706486070398,-0.2280152645059,0.8216781521207533,-0.41436721452417735,20,0.1609308532725826,1.6759178109336337
14,35,0.6544658459163906,-0.23913594859136877,0.8164380909729191,-0.3944557176172302,21,0.1632582819989732,1.6611106773008617
18,35,0.7591584840069561,-0.2447052514250418,0.8050078099438115,-0.4289411494203301,20,0.1848951069057827,1.7747670357575982
24,60,0.6256414017953709,-0.3049937970482356,0.7550204253514035,-0.40950208866645166,20,0.15713354962110326,1.7257906218133365
16,50,0.28083105843292433,-0.3545180830729546,0.7177769541960708,-0.42182018104508856,22,0.07717508236841364,1.4505164974360498
16,55,0.07827731747531996,-0.3445368192956769,0.7080896448663249,-0.4148678311835369,21,0.022894722642738286,1.3106516123102407
22,60,0.5691583721371765,-0.3508564759490966,0.7001750961297525,-0.419743382364385,21,0.14490791607456877,1.6842575216528732
10,30,0.5466177977995175,-0.43333515857970534,0.6984797901953567,-0.4374762317027674,23,0.13994306505846654,1.6154632774735278
18,55,0.2090133376226131,-0.31475428902115304,0.6947120951282085,-0.3956534697595059,20,0.058666177657958674,1.418436235029774
12,35,0.276362108105799,-0.5315234534852462,0.6160630481651909,-0.5032668344713627,23,0.07604483500157921,1.4309723991772958
10,35,0.4357400018770792,-0.626395137448369,0.6047422315361456,-0.5158767986931393,24,0.11475481123180908,1.5451326572067599
14,40,0.4541428367178979,-0.463812609002068,0.6016437634923921,-0.4166259884404916,23,0.11902742255365983,1.5416717422042574
10,40,0.3764488279701701,-0.6032217727432431,0.577492005407395,-0.4724689741036271,24,0.10072298335285867,1.5041493110975819
12,30,0.1663981098259375,-0.6118797581266768,0.5652363772110678,-0.5304836340633345,23,0.04731695871870678,1.3672036347408811
14,45,0.2431189386964474,-0.5271316705448508,0.5580216140846473,-0.4159369750596409,24,0.0675491284305465,1.4225212481353426
14,50,0.15606642271492643,-0.5734508567600953,0.5467574962299976,-0.4370960511609674,25,0.04452186932383695,1.358100326496372
12,40,0.2715200344301152,-0.6978753841016179,0.516281623430229,-0.5102061884110265,25,0.0748170910962882,1.4235045614619595
10,55,0.2615146568314153,-0.7511518588199848,0.48747800685100273,-0.4949869383589578,25,0.07226975216934806,1.4683724646495016
10,50,0.22773007093844932,-0.7866425732807494,0.4531045393619399,-0.5078813879069621,25,0.06356242001354206,1.4423615067035533
14,55,0.014977893397766895,-0.6902946331662477,0.4442668747342774,-0.4596765963496515,24,0.004475392987402849,1.2602044754437924
16,60,-0.015173363551036156,-0.6019450253787836,0.44158809691725676,-0.44175358811704346,21,-0.004581878979755372,1.2204137994525852
12,50,0.04961976854564387,-0.8270138661580222,0.4378985987722888,-0.5261537014706368,26,0.014652152676716046,1.3032604770906164
10,45,0.14257565439239905,-0.7895515614547072,0.4356339311098643,-0.5092256401413698,24,0.040845702549979324,1.3608761276705872
10,60,0.007801764584256965,-0.8204145554373459,0.43150706840640357,-0.5021703097976264,24,0.0023369740308538667,1.2815057548200024
18,60,0.18723572597402827,-0.6077418421218074,0.430643698253528,-0.44923317211449,20,0.05290200472548445,1.3883595710247256
12,45,0.16762766722975853,-0.7960735195884673,0.42754677739552466,-0.5147601379571092,25,0.04764844287359438,1.3773450218240377
12,55,-0.1569872011561093,-0.8781361666695384,0.38839067396194255,-0.525928684615035,26,-0.050000189415656315,1.1410776769229944
14,60,-0.10789425581070677,-0.7775083435473078,0.3874201681262507,-0.490044140242637,24,-0.03371101446388891,1.173571303976751
12,60,-0.17405577167272734,-0.9439551728205609,0.34600992709629635,-0.5465059580819613,26,-0.055818942640778246,1.1274445953293821
